#ID	Length	Dir	Exons	Position	GroupID	NIsoformInGroup	Explv
uc001aaa.3	1652	+	3	chr1:11874-14409	1	24	2.8014233955394667
uc010nxq.1	1488	+	3	chr1:11874-14409	1	24	122202.96762897051
uc010nxr.1	1595	+	3	chr1:11874-14409	1	24	93.84360015387232
uc009vis.2	842	-	4	chr1:14363-16765	1	24	78.64455770492056
uc001aae.3	2411	-	10	chr1:14363-19759	1	24	0.0410805343391341
uc009vit.2	2648	-	9	chr1:14363-19759	1	24	300.1932266786423
uc009viu.2	2705	-	10	chr1:14363-19759	1	24	5154.824476177438
uc001aab.3	1745	-	10	chr1:14363-24901	1	24	2364.213283071076
uc001aac.3	1745	-	11	chr1:14363-29370	1	24	263.33936970177774
uc001aah.3	1768	-	11	chr1:14363-29370	1	24	105.48873665450304
uc009viq.2	1636	-	7	chr1:14363-29370	1	24	757.7164758198122
uc009vir.2	2005	-	10	chr1:14363-29370	1	24	18676.278585545995
uc009viv.2	3181	-	7	chr1:14407-29370	1	24	7933.665630234406
uc009viw.2	3517	-	7	chr1:14407-29370	1	24	0.1621309734875109
uc009vix.2	1189	-	7	chr1:15603-29370	1	24	2.3407517584091684
uc009vjd.2	1101	-	5	chr1:15796-18061	1	24	0.6974408252311908
uc009viy.2	1134	-	9	chr1:16607-29370	1	24	0.025620372172614522
uc009viz.2	1097	-	8	chr1:16607-29370	1	24	0.2851380186758591
uc009vjc.1	717	-	2	chr1:16858-17751	1	24	4.1303909737967635
uc001aai.1	1577	-	6	chr1:16858-19759	1	24	0.3146785202571677
uc010nxs.1	1148	-	8	chr1:16858-29370	1	24	151.82439242843054
uc009vjb.1	1022	-	7	chr1:16858-29961	1	24	6.867652228218169
uc009vje.2	806	-	4	chr1:17233-29370	1	24	0.0001364978089770199
uc009vjf.2	868	-	7	chr1:17606-29370	1	24	9.879236570115598
uc001aak.2	1129	-	3	chr1:34612-36081	2	1	16.785587845189625
uc001aal.1	918	+	1	chr1:69091-70008	3	1	7.459238166292035
uc001aam.3	1390	-	1	chr1:137839-139228	4	1	1.2784397097218627
